Free API models
Model	RPM	TPM	RPD
Antigravity	60	100K	100
Gemini 2.5 Flash	5	250K	20
Gemini 2.5 Flash Lite	10	250K	20
Gemini 2.5 Flash TTS	3	10K	10
Gemini 3 Flash	5	250K	20
Gemini 3.1 Flash Lite	15	250K	500
Gemini 3.1 Flash TTS	3	10K	10
Gemini 3.5 Flash	5	250K	20
Gemini 3.5 Flash Lite	15	250K	500
Gemini 3.5 Transcribe	3	10K	25
Gemini 3.6 Flash	5	250K	20
Gemini 3.7 Flash	5	250K	20
Gemini 3.8 Flash	5	250K	20
Gemini Embedding 1	100	30K	1K
Gemini Embedding 2	100	30K	1K
Gemini Robotics ER 2 Preview	5	250K	20
Gemma 4 26B	30	16K	14.4K
Gemma 4 31B	30	16K	14.4K
Gemini 2.5 Flash Native Audio Dialog	Unlimited	1M	Unlimited
Gemini 3 Flash Live	Unlimited	65K	Unlimited
Gemini 3.5 Live Translate	Unlimited	20K	Unlimited
Gemini 3.5 Transcribe Live	Unlimited	20K	Unlimited

